accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,notes,iNat_needsID_only_notes
Gymnostachys anceps,Gymnostachys anceps,accepted,Araceae,5.monocot-showy,native,7,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1897,2016,2012,2024,,
Typhonium eliosurum,Typhonium eliosurum,accepted,Araceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1978,1978,,,,none
Zantedeschia aethiopica,Zantedeschia aethiopica,accepted,Araceae,5.monocot-showy,introduced,26,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1983,1983,2014,2024,,
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,accepted,Arecaceae,5.monocot-showy,native,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_correct
Livistona australis,Livistona australis,accepted,Arecaceae,5.monocot-showy,native,57,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1949,1975,2004,2024,,
Rhapis excelsa,Rhapis excelsa,accepted,Arecaceae,5.monocot-showy,introduced,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,
Asparagus aethiopicus,Asparagus aethiopicus,accepted,Asparagaceae,5.monocot-showy,introduced,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1983,1983,2023,2023,,
Asparagus asparagoides,Asparagus asparagoides,accepted,Asparagaceae,5.monocot-showy,introduced,1,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2020,,
Asparagus setaceus,Asparagus setaceus,accepted,Asparagaceae,5.monocot-showy,introduced,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1972,1983,,,"1972 voucher geolocated on opposite of Port Hacking, but clearly from Royal based on notes",none
Asparagus setaceus,Asparagus plumosus,synonym,Asparagaceae,5.monocot-showy,introduced,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,"Australia still follows old scheme of treating setaceus and plumosus as separate species, the latter has been lumped into the former now",
Chlorophytum comosum,Chlorophytum comosum,accepted,Asparagaceae,5.monocot-showy,introduced,4,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Eustrephus latifolius,Eustrephus latifolius,accepted,Asparagaceae,5.monocot-showy,native,10,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1975,2019,2020,2023,,
Laxmannia gracilis,Laxmannia gracilis,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1888,1892,,,,none
Lomandra brevis,Lomandra brevis,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1899,1986,,,,none
Lomandra cylindrica,Lomandra cylindrica,accepted,Asparagaceae,5.monocot-showy,native,3,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1966,1975,2020,2021,"1975 voucher geolocated outside Royal, but inside park based on notes",
Lomandra filiformis,Lomandra filiformis,accepted,Asparagaceae,5.monocot-showy,native,4,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1964,2012,2020,2023,,
Lomandra fluviatilis,Lomandra fluviatilis,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1895,1978,,,,none
Lomandra glauca,Lomandra glauca,accepted,Asparagaceae,5.monocot-showy,native,11,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1958,2016,2016,2023,,
Lomandra gracilis,Lomandra gracilis,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1896,1978,,,,yes_unsure
Lomandra laxa,Lomandra laxa,accepted,Asparagaceae,5.monocot-showy,out-of-range,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,
Lomandra longifolia,Lomandra longifolia,accepted,Asparagaceae,5.monocot-showy,native,20,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1885,2015,2020,2024,,
Lomandra micrantha,Lomandra micrantha,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1969,1969,,,,none
Lomandra multiflora,Lomandra multiflora,accepted,Asparagaceae,5.monocot-showy,native,34,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,1992,2019,2023,,
Lomandra obliqua,Lomandra obliqua,accepted,Asparagaceae,5.monocot-showy,native,38,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2012,2014,2024,,
Sowerbaea juncea,Sowerbaea juncea,accepted,Asparagaceae,5.monocot-showy,native,27,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1972,1994,2014,2023,,
Thysanotus juncifolius,Thysanotus juncifolius,accepted,Asparagaceae,5.monocot-showy,native,,1,1,,1,1,,1,1,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,1946,1994,,,,yes_correct
Thysanotus tuberosus,Thysanotus tuberosus,accepted,Asparagaceae,5.monocot-showy,native,30,,1,1,,1,1,1,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1947,1947,2008,2024,,
Thysanotus virgatus,Thysanotus virgatus,accepted,Asparagaceae,5.monocot-showy,native,2,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1946,2016,2024,2024,,
Aloe maculata,Aloe maculata,accepted,Asphodelaceae,5.monocot-showy,introduced,,,,,,,,,,1,1,XX-not in graphics,"add, needsID observation that is definitely correct",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Caesia parviflora,Caesia parviflora,accepted,Asphodelaceae,5.monocot-showy,native,13,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,1970,2014,2024,,
Dianella caerulea,Dianella caerulea,accepted,Asphodelaceae,5.monocot-showy,native,1,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1977,2015,2021,2021,,
Dianella congesta,Dianella congesta,accepted,Asphodelaceae,5.monocot-showy,native,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Dianella revoluta,Dianella revoluta,accepted,Asphodelaceae,5.monocot-showy,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1902,1948,2021,2021,,
Geitonoplesium cymosum,Geitonoplesium cymosum,accepted,Asphodelaceae,5.monocot-showy,native,6,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1958,1983,2019,2024,,
Kniphofia uvaria,Kniphofia uvaria,accepted,Asphodelaceae,5.monocot-showy,introduced,2,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Thelionema caespitosum,Thelionema caespitosum,accepted,Asphodelaceae,5.monocot-showy,native,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",identification error,"remove, incorrect identification",,,,,"The sheet for the 2002 voucher actually has an ID of ""Thelionema aff. caespitosum"", not T. caespitosum. Looking at the specimen itself, it also seems a better match to T. umbellatum to me given the flowers do not exceed the leaves, although I am not an expert in this group. However, I  suspect this is actually T. umbellatum, which is well-vouchered in Royal",
Thelionema umbellatum,Thelionema umbellatum,accepted,Asphodelaceae,5.monocot-showy,native,2,,1,1,,1,1,1,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1888,1982,2022,2022,1982 voucher clearly from Royal from notes but had been geolocated into ocean,
Trachyandra divaricata,Trachyandra divaricata,accepted,Asphodelaceae,5.monocot-showy,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Tricoryne elatior,Tricoryne elatior,accepted,Asphodelaceae,5.monocot-showy,native,1,,,1,,1,1,1,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1974,1974,2020,2020,"voucher clearly from Royal based on notes, but had been geolocated into the ocean",
Tricoryne simplex,Tricoryne simplex,accepted,Asphodelaceae,5.monocot-showy,native,7,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1934,1994,2020,2023,,
Xanthorrhoea arborea,Xanthorrhoea arborea,accepted,Asphodelaceae,5.monocot-showy,native,7,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2012,2021,2023,,
Xanthorrhoea macronema,Xanthorrhoea macronema,accepted,Asphodelaceae,5.monocot-showy,native,6,1,,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1954,1954,2018,2023,"One voucher geolocated just outside Royal to the west. However, the collection notes read as ""Local in valley, c. 1/4 way from Lilyvale to B.P. [Burning Palms]."" So clearly the coordinates should be inside Royal given Burning Palms [Beach] is actually to the east of Lilyvale, not west where the coordinates are",
Xanthorrhoea media,Xanthorrhoea media,accepted,Asphodelaceae,5.monocot-showy,native,2,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1962,1994,2023,2023,,
Xanthorrhoea resinosa,Xanthorrhoea resinosa,accepted,Asphodelaceae,5.monocot-showy,native,24,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1963,1994,2007,2024,,
Blandfordia nobilis,Blandfordia nobilis,accepted,Blandfordiaceae,5.monocot-showy,native,55,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1936,1994,2016,2023,the 1894 voucher is questionable enough to me re matching between the coordinates and verbatim locality that I'm discarding it,
Canna indica,Canna indica,accepted,Cannaceae,5.monocot-showy,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Burchardia umbellata,Burchardia umbellata,accepted,Colchicaceae,5.monocot-showy,native,57,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1992,2012,2011,2023,,
Schelhammera undulata,Schelhammera undulata,accepted,Colchicaceae,5.monocot-showy,native,27,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,1986,2016,2024,,
Aneilema acuminatum,Aneilema acuminatum,accepted,Commelinaceae,5.monocot-showy,native,2,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2024,2024,"1915 voucher that has been geolocated just outside Royal could actually be inside, as the entered coordinates don't seem to match the locality name well, but the locality is too vague to be confident of including",
Aneilema biflorum,Aneilema biflorum,accepted,Commelinaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1977,1977,,,,none
Commelina cyanea,Commelina cyanea,accepted,Commelinaceae,5.monocot-showy,native,14,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,1988,2024,,
Pollia crispata,Pollia crispata,accepted,Commelinaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1975,1977,,,,none
Tradescantia fluminensis,Tradescantia fluminensis,accepted,Commelinaceae,5.monocot-showy,introduced,2,1,,1,1,,1,,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2022,2023,,
Doryanthes excelsa,Doryanthes excelsa,accepted,Doryanthaceae,5.monocot-showy,native,108,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2012,2004,2024,,
Eriocaulon scariosum,Eriocaulon scariosum,accepted,Eriocaulaceae,5.monocot-showy,native,,1,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1973,1973,,,"1973 voucher geolocated just outside Royal, inside park based on notes",none
Flagellaria indica,Flagellaria indica,accepted,Flagellariaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1962,1986,,,,none
Haemodorum corymbosum,Haemodorum corymbosum,accepted,Haemodoraceae,5.monocot-showy,native,3,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1984,2022,2024,,
Haemodorum planifolium,Haemodorum planifolium,accepted,Haemodoraceae,5.monocot-showy,native,6,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1895,1984,2021,2023,,
Egeria densa,Egeria densa,accepted,Hydrocharitaceae,5.monocot-showy,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1973,1973,,,,none
Halophila australis,Halophila australis,accepted,Hydrocharitaceae,5.monocot-showy,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Halophila decipiens,Halophila decipiens,accepted,Hydrocharitaceae,5.monocot-showy,native,,1,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,databasing discrepancy,"add, known vouchers missing from biodiversity portal",1974,1974,,,"There is a 1974 voucher in the AVH in Royal, but inexplicably it isn't in GBIF (or at least, I cannot find it), despite seemingly not having anything wrong with it that may cause it to be excluded. Although the exact coordinates are clearly wrong, placed in the middle of the bush for a marine plant, the locality notes suggest Royal is correct",none
Halophila ovalis,Halophila ovalis,accepted,Hydrocharitaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1973,1974,,,"I'm not entirely sure the two 1973 vouchers are actually from within Royal. The coordinates currently being used are clearly wrong based on habitat, but the locality notes certainly indicate the general area is correct. I just don't know whether the records should be just inside or just outside Royal; I can't quite figure out exactly which body of water is 'Fishermans Bay' (there is a Fishermans Bay Road, but it's not 100% clear cut where the actual bay is). Have retained them as very very close regardless (effectively right on the border). Also found a 1974 voucher geolocated just outside of Royal, but which should probably be inside, which I've added here",none
Vallisneria australis,Vallisneria australis,accepted,Hydrocharitaceae,5.monocot-showy,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1973,1973,2024,2024,,
Vallisneria nana,Vallisneria nana,accepted,Hydrocharitaceae,5.monocot-showy,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1973,1973,,,,none
Hypoxis hygrometrica,Hypoxis hygrometrica,accepted,Hypoxidaceae,5.monocot-showy,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,2016,2016,,,,yes_correct
Aristea ecklonii,Aristea ecklonii,accepted,Iridaceae,5.monocot-showy,introduced,4,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2022,2023,,
Dietes grandiflora,Dietes grandiflora,accepted,Iridaceae,5.monocot-showy,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Dietes iridioides,Dietes iridioides,accepted,Iridaceae,5.monocot-showy,introduced,,,,,,,,,,1,1,XX-not in graphics,"add, needsID observation that is definitely correct",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Freesia alba x leichtlinii,Freesia alba x leichtlinii,accepted,Iridaceae,5.monocot-showy,introduced,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,"the iNat obs are only identified to genus, but they are the same entity that the park list is referring to here (which gets called different things by different floras)",yes_correct
Gladiolus x hortulanus,Gladiolus x hortulanus,accepted,Iridaceae,5.monocot-showy,introduced,1,,,1,,,1,,,,1,"retain, restricted license","retain, but restricted license",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2023,2023,,
Gladiolus carneus,Gladiolus carneus,accepted,Iridaceae,5.monocot-showy,introduced,,,,,,,,,,1,1,XX-not in graphics,"add, needsID observation that is definitely correct",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Gladiolus undulatus,Gladiolus undulatus,accepted,Iridaceae,5.monocot-showy,introduced,1,1,1,1,1,1,1,1,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1975,1975,2021,2021,,
Herbertia lahue,Herbertia lahue,accepted,Iridaceae,5.monocot-showy,introduced,8,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2016,2022,,
Libertia paniculata,Libertia paniculata,accepted,Iridaceae,5.monocot-showy,native,3,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2019,2021,2023,,
Patersonia fragilis,Patersonia fragilis,accepted,Iridaceae,5.monocot-showy,native,,,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,1981,1981,,,"In the park list this was referred to as 'Patersonia sp. aff. fragilis', which is presumably what is referred to in the NSW Flora, which states (on the fragilis profile): ""Some coastal plants (NC, CC, SC & Vic) are less robust, they have thin leaves and shorter outer perianth lobes and inflorescence spathes and may represent a distinct taxon."" Given it is still unclear whether this entity does indeed warrant description as a different species, I am absorbing the name into fragilis, and thus treating it as P. fragilis sens. lat. here",none
Patersonia fragilis,Patersonia sp. aff. fragilis,synonym,Iridaceae,5.monocot-showy,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Patersonia glabrata,Patersonia glabrata,accepted,Iridaceae,5.monocot-showy,native,32,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,2014,1989,2023,,
Patersonia sericea,Patersonia sericea,accepted,Iridaceae,5.monocot-showy,native,52,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1960,2012,2016,2024,,
Romulea rosea,Romulea rosea,accepted,Iridaceae,5.monocot-showy,introduced,5,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Sisyrinchium micranthum,Sisyrinchium micranthum,accepted,Iridaceae,5.monocot-showy,introduced,5,,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,1978,2002,2021,2023,"2002 voucher geolocated just outside the park, but inside Royal based on notes",
Sisyrinchium micranthum,Sisyrinchium iridifolium,synonym,Iridaceae,5.monocot-showy,introduced,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Sisyrinchium micranthum,Sisyrinchium rosulatum,synonym,Iridaceae,5.monocot-showy,introduced,,,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Watsonia meriana,Watsonia meriana,accepted,Iridaceae,5.monocot-showy,introduced,1,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Lilium formosanum,Lilium formosanum,accepted,Liliaceae,5.monocot-showy,introduced,3,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1975,2002,2022,2023,"2002 voucher geolocated just outside the park, but inside Royal based on notes",
Acianthus caudatus,Acianthus caudatus,accepted,Orchidaceae,5.monocot-showy,native,23,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1995,2020,2024,,
Acianthus exsertus,Acianthus exsertus,accepted,Orchidaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1933,1971,,,,none
Acianthus fornicatus,Acianthus fornicatus,accepted,Orchidaceae,5.monocot-showy,native,32,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1899,2011,2020,2024,,
Acianthus pusillus,Acianthus pusillus,accepted,Orchidaceae,5.monocot-showy,native,5,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2024,,
Adenochilus nortonii,Adenochilus nortonii,accepted,Orchidaceae,5.monocot-showy,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,"there is a known disjunct population in the park near Helensburgh, referred to in multiple orchid field guides",none
Bulbophyllum exiguum,Bulbophyllum exiguum,accepted,Orchidaceae,5.monocot-showy,native,8,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1927,1988,2011,2024,,
Bulbophyllum shepherdii,Bulbophyllum shepherdii,accepted,Orchidaceae,5.monocot-showy,native,5,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1993,2021,2023,,
Burnettia cuneata,Burnettia cuneata,accepted,Orchidaceae,5.monocot-showy,native,,1,1,,1,1,,1,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1887,2002,,,"there's apparently a 1788 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it. I'm also suspicious of the 1887 voucher, but have retained it (later vouchers clearly right anyway)",none
Caladenia alata,Caladenia alata,accepted,Orchidaceae,5.monocot-showy,native,18,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Caladenia carnea,Caladenia carnea,accepted,Orchidaceae,5.monocot-showy,native,13,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1936,1981,2021,2023,,
Caladenia catenata,Caladenia catenata,accepted,Orchidaceae,5.monocot-showy,native,83,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1921,2002,2003,2023,"2002 voucher clearly from Royal based on notes, but had been geolocated just outside the park",
Caladenia curtisepala,Caladenia curtisepala,accepted,Orchidaceae,5.monocot-showy,native,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_correct
Caladenia fuscata,Caladenia fuscata,accepted,Orchidaceae,5.monocot-showy,native,3,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1947,1947,2020,2023,,
Caladenia picta,Caladenia picta,accepted,Orchidaceae,5.monocot-showy,native,1,1,1,1,1,1,1,,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1998,1998,2022,2022,,
Caladenia tessellata,Caladenia tessellata,accepted,Orchidaceae,5.monocot-showy,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1945,1955,,,,none
Caladenia testacea,Caladenia testacea,accepted,Orchidaceae,5.monocot-showy,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
